species,out_strength,in_strength,out_degree,in_degree,out_degree_centrality,in_degree_centrality,betweenness_centrality,eigenvector_centrality,mean_pairwise_asymmetry,cluster,network_community
Faxonius leptogonopodus,15.144050902454183,30.196536294883117,25,60,0.16233766233766234,0.38961038961038963,0.048298107121636534,0.14493744455704655,0.15908054896182827,3,2
Faxonius limosus,14.204553795978427,14.764307894511148,28,33,0.18181818181818182,0.2142857142857143,0.0052202699261522795,0.018753434681296817,0.057783796060407025,6,4
Faxonius longidigitus,19.471936802379787,21.617666577687487,30,48,0.19480519480519481,0.3116883116883117,0.0016976487564722858,0.05251443778322085,0.08219907270266687,3,4
Faxonius luteus,21.323275742586702,19.95558062219061,33,35,0.2142857142857143,0.2272727272727273,0.018674136321195144,0.0361262739572915,0.07573179149087035,4,4
Faxonius macrus,14.490985685726628,21.09405758790672,27,37,0.17532467532467533,0.24025974025974028,0.005814446990917579,0.061950684495719444,0.08266585333690096,3,4
Faxonius medius,12.208739612717181,20.887012222548947,15,34,0.09740259740259741,0.2207792207792208,0.00029708853238265005,0.0364835847896785,0.09167767137549092,4,4
Faxonius meeki,19.32135329558514,22.713004334596917,37,51,0.24025974025974028,0.33116883116883117,0.018546812664459723,0.06810659173529171,0.08221654749668941,3,4
Faxonius mirus,18.50004868907854,25.906135325552896,39,45,0.2532467532467533,0.29220779220779225,0.01294457176810118,0.09593395008977208,0.12559196907065373,5,2
Faxonius nais,19.636249070055783,20.127771807601675,36,41,0.2337662337662338,0.26623376623376627,0.02279093455564044,0.053916349236281885,0.07315398083376855,3,4
Faxonius nana,7.832164413295686,22.439482459798455,11,45,0.07142857142857144,0.29220779220779225,0.0001697648756472286,0.07345584746328843,0.0998123440734268,3,4
Faxonius neglectus,26.788777659647167,20.168649485334754,45,40,0.29220779220779225,0.25974025974025977,0.006111535523300229,0.04763566205094916,0.08829814517967306,3,4
Faxonius neglectus neglectus,21.242487790063024,20.01953887497075,28,37,0.18181818181818182,0.24025974025974028,0.0009337068160597573,0.04880270850600019,0.07353095789349264,3,4
Faxonius obscurus,14.029177758842707,11.240243909182027,21,17,0.13636363636363638,0.1103896103896104,0.0017400899753840932,0.005157112263022566,0.044415591156122265,6,4
Faxonius ozarkae,25.791197933256626,24.804997853701934,51,61,0.33116883116883117,0.3961038961038961,0.014896867838044309,0.07585646492889182,0.07987064503090964,3,4
Faxonius palmeri,39.40258659608662,25.88471840787679,87,63,0.564935064935065,0.4090909090909091,0.029878618113912233,0.11147672287236915,0.12162292911368724,3,3
Faxonius palmeri longimanus,18.86556632630527,26.619228151161224,34,58,0.2207792207792208,0.37662337662337664,0.0011883541295306002,0.119960653984025,0.10589679690718941,3,3
Faxonius perfectus,23.01683508977294,29.52616411494091,49,51,0.3181818181818182,0.33116883116883117,0.0008912655971479501,0.16496496400279825,0.10556663715208021,1,3
Faxonius peruncus,20.056557027623057,23.3221215212252,40,48,0.25974025974025977,0.3116883116883117,0.004795857737034208,0.0516077033063138,0.09885711296818328,4,4
Faxonius placidus,32.94815667811781,24.838811204535887,72,59,0.4675324675324676,0.38311688311688313,0.006535947712418301,0.07893051287000223,0.10204888083337044,5,2
Faxonius propinquus,11.205903321504593,10.096754539990798,20,20,0.12987012987012989,0.12987012987012989,0.005135387488328665,0.007306756405842338,0.031355887649931594,4,4
Faxonius punctimanus,22.17353059584275,22.69368735072203,31,48,0.2012987012987013,0.3116883116883117,0.007681860623037094,0.050657944697470245,0.09153094258334778,4,4
Faxonius putnami,26.869047564454377,21.791010670131072,60,50,0.38961038961038963,0.3246753246753247,0.009634156692980223,0.05580940166226681,0.08610406990447263,5,2
Faxonius raymondi,14.56272651348263,13.832439769525081,29,22,0.18831168831168832,0.14285714285714288,0.0006366182836771072,0.012805162208282749,0.10080789697550044,4,4
Faxonius rusticus,19.65040485560894,12.381077279569581,39,19,0.2532467532467533,0.12337662337662339,0.007766743060860708,0.008950051562131064,0.0649791611887684,4,4
Faxonius sanbornii,21.519668522290885,13.305840096669272,43,28,0.27922077922077926,0.18181818181818182,0.0015703250997368644,0.011619778928719567,0.06929568450916075,4,4
Faxonius sloanii,12.159507067874074,12.675014091888443,26,16,0.16883116883116883,0.1038961038961039,0.0014854426619132501,0.009476394626667327,0.06962233444210142,4,4
Faxonius spinosus,40.865481013432145,24.56238253135234,86,52,0.5584415584415585,0.33766233766233766,0.011798658857482387,0.09216960685907671,0.132490060189376,5,2
Faxonius validus,27.542279141023755,26.589435860980302,52,56,0.33766233766233766,0.36363636363636365,0.007342330871742637,0.11313724020536581,0.1108489131839196,5,2
Faxonius virginiensis,16.006507272832096,17.543500039028004,25,30,0.16233766233766234,0.19480519480519481,0.00046685340802987864,0.04734144516789193,0.07982822529239846,2,3
